taxon	sequenceID	species	association	lineage	full_name	isolate	sampled_host_sci_name	pubmed_id
alignment/AL_DependoA/member/ncbi-refseqs/AF028704	AF028704	AAV6	Rutledge et al	DependoA	Adeno-associated virus - 6	-	-	9420229
alignment/AL_DependoA/member/ncbi-refseqs/AX753250	AX753250	AAV9	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_DependoA/member/ncbi-refseqs/AY631965	AY631965	AAV10	Mori et al	DependoA	adeno-associated virus 10	-	-	15567432
alignment/AL_DependoA/member/ncbi-refseqs/AY631966	AY631966	AAV11	Mori et al	DependoA	Adeno-associated virus 11	-	-	15567432
alignment/AL_DependoA/member/ncbi-nuccore-aav/AY695376	AY695376	-	Chen et al	DependoA	Adeno-associated virus	hu.S17	Homo sapiens	16282478
alignment/AL_DependoA/member/ncbi-refseqs/DQ813647	DQ813647	AAV12	Schmidt et al	DependoA	Adeno-associated virus 12	-	-	18045941
alignment/AL_DependoA/member/ncbi-nuccore-aav/EU285562	EU285562	-	Schmidt et al	DependoA	Adeno-associated virus 13	-	-	18524816
alignment/AL_DependoA/member/ncbi-nuccore-aav/JA062743	JA062743	-	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/JA062747	JA062747	-	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/JA062749	JA062749	-	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/JA062750	JA062750	-	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/JA062751	JA062751	-	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/JA231994	JA231994	-	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus	-	-	-
